id,title,status,loc.0,date,time,mins,desc,tags.0,tags.1,tags.2,people.0.id,people.0.name,people.1.id,people.1.name,people.2.id,people.2.name,people.3.id,people.3.name,people.4.id,people.4.name,people.5.id,people.5.name,people.6.id,people.6.name,people.7.id,people.7.name,227
20,Cosplaying on NO Budget,,McKinley B,2018-03-09,14:00,60,How do I use what I have in my home and closet to create great fandom looks? Here's a million ways...just using your found materials and your imagination!,cosplay,,,13,Brenna MC,,,,,,,,,,,,,,,
23,Stories of Coming up with Characters,,Pegasus,2018-03-09,14:00,60,"Sometimes we deliberately and painstakingly craft our characters, sometimes even excruciatingly pulling out our creativity… and then, other times, the characters drop in on us in the oddest way!",authors,writing,panel,12,B. Seth,48,M. Flohr,35,J. Troemner,36,K. Herkes,33,J. Gribble,,,,,,,
21,Monopoly - Why It Does Not Suck,,Pres Boardroom,2018-03-09,14:00,60,A discussion of the history of Monopoly and why it is a better game than most gamers think it is.,gaming,,,18,D. Chenin,,,,,,,,,,,,,,,
25,Get to the Head of the Class™,,Grant B/C,2018-03-09,15:00,105,Join us in this classic grade school trivia game. Can you get to the head of the class? (ages 8+),kids,gaming,,,,,,,,,,,,,,,,,,
210,Cosplay 101,ADDITION,McKinley A,2018-03-09,15:00,60,,Knightmage,Princess Morgan,cosplay,92,Knightmage,87,Princess Morgan,,,,,,,,,,,,,
28,Video Game Music History,,McKinley B,2018-03-09,15:00,60,Reviewing the classics that helped shape the Video game Music Industry.,gaming,music,,39,K. Tomb,,,,,,,,,,,,,,,
26,Mistakes Beginning Authors Make 1.0,,Pegasus,2018-03-09,15:00,60,A discussion of the common problems seen in new writers' manuscripts and how to avoid them.,authors,writing,panel,4,A. Matthews,15,C. Matthews,63,O. Berrier,33,J. Gribble,32,J. Blackrose,,,,,,,
24,"Birds of a Feather: Knit One, Stitch Two Maker Craft Space",,Pres Boardroom,2018-03-09,15:00,120,TBD,crafting,maker space,,,,,,,,,,,,,,,,,,
30,Tales of Nerdarchy,,McKinley A,2018-03-09,16:00,60,The guys of Nerdarchy share some stories of the strange and crazy that they have encountered.,Nerdarchy,Q & A,gaming,62,Nerdarchy,,,,,,,,,,,,,,,
29,Author Perspectives on Fan Fiction,,McKinley B,2018-03-09,16:00,60,"Fans often love exploring an author’s world with their own fiction, but what do authors think? Which worlds are open to fan fiction? Find out here.",authors,writing,,33,J. Gribble,9,B. Doran,3,A. King,85,W. Kincade,48,M. Flohr,,,,,,,
27,PowerPoint Improv,UPDATED,Pegasus,2018-03-09,16:00,60,"The Confused Greenies have collected some ""great"" slideshows but it's up to YOU to give the academic presentation sight unseen!",performance,improv,,80,The Confused Greenies,80,The Confused Greenies,,,,,,,,,,,,,
