id,name.0,name.1,name.2,name.3,links.img,bio,prog.0,prog.1,prog.2,prog.3,prog.4,prog.5,prog.6,prog.7,prog.8,prog.9,prog.10,prog.11,prog.12,prog.13,prog.14,prog.15,prog.16,prog.17,prog.18,prog.19,prog.20,prog.21,prog.22,prog.23,prog.24,96
70,S.,Bauer,,,,,54,93,115,133,113,196,,,,,,,,,,,,,,,,,,,,
71,S.,Clark,,,,,47,57,148,165,,,,,,,,,,,,,,,,,,,,,,
72,S.,Kass,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
73,S.,Swann,,,,,81,134,,,,,,,,,,,,,,,,,,,,,,,,
74,T.,Hall,,,,,16,106,,,,,,,,,,,,,,,,,,,,,,,,
75,T.,Hawkins,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,
76,T.,Mallison,,,,,36,99,,,,,,,,,,,,,,,,,,,,,,,,
77,T.,Maynard,,,,,86,196,,,,,,,,,,,,,,,,,,,,,,,,
78,T.,Nigro,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,
79,T.,Mallison,,,,,36,99,,,,,,,,,,,,,,,,,,,,,,,,
80,The Confused Greenies,,,,,,27,159,223,174,224,198,201,,,,,,,,,,,,,,,,,,,
81,The Harp Twins,,,,,,43,122,194,,,,,,,,,,,,,,,,,,,,,,,
82,---,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
83,Troupe Abira Bellydancers,,,,,,92,140,,,,,,,,,,,,,,,,,,,,,,,,
84,V.,Walker,,,,,40,44,54,164,,,,,,,,,,,,,,,,,,,,,,
85,W.,Kincade,,,,,29,115,152,161,113,187,196,,,,,,,,,,,,,,,,,,,
86,Mogchelle,,,,,,211,135,225,228,,,,,,,,,,,,,,,,,,,,,,
87,Princess,Morgan,,,,,210,135,225,,,,,,,,,,,,,,,,,,,,,,,
88,T.,Isabella,,,,,212,227,,,,,,,,,,,,,,,,,,,,,,,,
89,S.,McGuire,,,,,214,217,,,,,,,,,,,,,,,,,,,,,,,,
90,Stitches,,,,,,215,221,222,225,,,,,,,,,,,,,,,,,,,,,,
91,M.,Hammil,,,,,218,,,,,,,,,,,,,,,,,,,,,,,,,
92,Knightmage,,,,,,210,135,225,,,,,,,,,,,,,,,,,,,,,,,
93,S.,Owen Roberts,,,,,219,226,,,,,,,,,,,,,,,,,,,,,,,,
94,M.,Harpster,,,,,135,225,,,,,,,,,,,,,,,,,,,,,,,,
95,J.,Matulich,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,
